Opening Time,Type [buy/sell],Symbol,Setup,Size / Quantity,Closing Time,Entry Price,Closing Price,Swap,Commission,Net Profit,Stop Loss (optional),Take Profit(optional),Highest price (optional),Lowest price (optional)
2025-04-10 10:35:00,Sell,XAUUSD,Default Setup,0.1,2025-04-10 10:37:00,3112.12,3112.13,0.0,0.0,-0.1,3112.13,3109.46,,
2025-04-10 10:35:00,Sell,XAUUSD,Default Setup,0.1,2025-04-10 10:37:00,3112.12,3112.15,0.0,0.0,-0.3,3112.15,3106.43,,
2025-04-10 10:35:00,Sell,XAUUSD,Default Setup,0.1,2025-04-10 10:36:00,3112.08,3111.38,0.0,0.0,7.0,3118.47,3110.97,,
2025-04-09 20:11:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 20:15:00,3084.33,3090.48,0.0,0.0,-61.5,3090.48,3082.98,3453.0,-615.0
2025-04-09 20:11:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 20:15:00,3084.33,3090.46,0.0,0.0,-61.3,3090.46,3081.46,3453.0,-613.0
2025-04-09 20:11:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 20:15:00,3084.33,3090.46,0.0,0.0,-61.3,3090.46,3078.46,3453.0,-613.0
2025-04-09 17:59:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 18:07:00,3069.91,3069.77,0.0,0.0,1.4,3069.77,3064.09,14.0,-1498.0
2025-04-09 17:59:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 18:02:00,3069.91,3067.3,0.0,0.0,26.1,3069.79,3067.09,,
2025-04-09 17:59:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 18:00:00,3069.91,3068.59,0.0,0.0,13.2,3076.09,3068.59,,
2025-04-09 17:41:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 17:45:00,3078.15,3077.89,0.0,0.0,2.6,3077.89,3074.0,,
2025-04-09 17:41:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 17:45:00,3078.16,3077.89,0.0,0.0,2.7,3077.89,3071.5,,
2025-04-09 17:41:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 17:43:00,3078.15,3076.7,0.0,0.0,14.5,3084.2,3076.7,,
2025-04-09 16:58:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 17:05:00,3074.4,3074.19,0.0,0.0,2.1,3074.19,3071.47,705.0,0.0
2025-04-09 16:58:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 17:05:00,3074.4,3074.19,0.0,0.0,2.1,3074.19,3068.47,705.0,0.0
2025-04-09 16:58:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 17:04:00,3074.41,3073.07,0.0,0.0,13.4,3080.46,3072.96,694.0,0.0
2025-04-09 16:49:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 16:53:00,3073.48,3075.24,0.0,0.0,17.6,3067.95,3079.95,,
2025-04-09 16:49:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 16:53:00,3073.56,3075.24,0.0,0.0,16.8,3067.94,3075.44,,
2025-04-09 16:49:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 16:53:00,3073.5,3075.24,0.0,0.0,17.4,3067.94,3076.94,,
2025-04-09 16:45:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 16:48:00,3071.39,3070.98,0.0,0.0,4.1,3070.98,3065.39,,
2025-04-09 16:45:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 16:46:00,3071.23,3068.38,0.0,0.0,28.5,3077.38,3068.38,,
2025-04-09 16:45:00,Sell,XAUUSD,Default Setup,0.1,2025-04-09 16:46:00,3071.23,3070.2,0.0,0.0,10.3,3077.36,3069.86,,
2025-04-09 16:06:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 16:11:00,3054.38,3059.72,0.0,0.0,53.4,3054.67,3060.0,2187.0,0.0
2025-04-09 16:06:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 16:07:00,3054.4,3057.0,0.0,0.0,26.0,3047.0,3057.0,,
2025-04-09 16:06:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 16:07:00,3054.38,3055.12,0.0,0.0,7.4,3047.0,3055.82,,
2025-04-09 13:09:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 14:01:00,3046.36,3037.6,0.0,0.0,-87.6,3037.6,3046.6,2470.0,-876.0
2025-04-09 13:09:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 14:01:00,3046.62,3037.6,0.0,0.0,-90.2,3037.6,3053.0,2444.0,-902.0
2025-04-09 13:09:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 14:01:00,3046.62,3037.6,0.0,0.0,-90.2,3037.6,3051.6,2444.0,-902.0
2025-04-09 11:00:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 11:12:00,3041.17,3047.12,0.0,0.0,59.5,3041.42,3047.12,595.0,-146.0
2025-04-09 11:00:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 11:11:00,3041.17,3044.12,0.0,0.0,29.5,3041.42,3044.12,462.0,-146.0
2025-04-09 11:00:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 11:09:00,3041.17,3042.42,0.0,0.0,12.5,3035.12,3042.62,462.0,-146.0
2025-04-09 10:43:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 10:59:00,3046.91,3040.5,0.0,0.0,-64.1,3040.5,3048.5,0.0,-641.0
2025-04-09 10:43:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 10:59:00,3046.92,3040.5,0.0,0.0,-64.2,3040.5,3050.5,0.0,-642.0
2025-04-09 10:43:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 10:59:00,3046.91,3040.5,0.0,0.0,-64.1,3040.5,3053.5,0.0,-641.0
2025-04-09 09:45:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 09:55:00,3030.97,3036.73,0.0,0.0,57.6,3031.02,3036.73,1569.0,0.0
2025-04-09 09:45:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 09:55:00,3030.94,3033.69,0.0,0.0,27.5,3031.04,3033.73,1572.0,0.0
2025-04-09 09:45:00,Buy,XAUUSD,Default Setup,0.1,2025-04-09 09:47:00,3030.95,3032.21,0.0,0.0,12.6,3024.71,3032.21,,
2025-04-08 19:03:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 19:23:00,3000.68,2994.0,0.0,0.0,-66.8,2994.0,3004.0,0.0,-2325.0
2025-04-08 19:03:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 19:23:00,3000.68,2994.0,0.0,0.0,-66.8,2994.0,3007.0,0.0,-2325.0
2025-04-08 19:03:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 19:23:00,3000.57,2994.0,0.0,0.0,-65.7,2994.0,3001.6,0.0,-2314.0
2025-04-08 17:03:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 17:06:00,3014.2,3017.75,0.0,0.0,35.5,3014.46,3018.0,,
2025-04-08 17:05:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 17:05:00,3016.92,3016.93,0.0,0.0,0.1,3010.99,3019.99,,
2025-04-08 17:05:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 17:05:00,3016.92,3017.29,0.0,0.0,3.7,3006.7,3020.7,,
2025-04-08 17:03:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 17:05:00,3014.21,3017.15,0.0,0.0,29.4,3008.15,3017.15,,
2025-04-08 17:03:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 17:05:00,3014.46,3015.65,0.0,0.0,11.9,3008.15,3015.65,,
2025-04-08 15:47:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 16:09:00,3006.43,3006.72,0.0,0.0,2.9,3006.72,3010.0,1037.0,-107.0
2025-04-08 15:47:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 16:09:00,3006.43,3006.72,0.0,0.0,2.9,3006.72,3012.0,1037.0,-107.0
2025-04-08 15:47:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 15:47:00,3006.43,3007.91,0.0,0.0,14.8,3000.0,3008.0,,
2025-04-08 15:21:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 15:39:00,3009.15,3009.62,0.0,0.0,4.7,3009.62,3016.0,882.0,-168.0
2025-04-08 15:21:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 15:35:00,3009.24,3012.61,0.0,0.0,33.7,3009.57,3013.0,873.0,0.0
2025-04-08 15:21:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 15:22:00,3009.19,3010.76,0.0,0.0,15.7,3003.26,3010.76,,
2025-04-08 12:42:00,Sell,XAUUSD,Default Setup,0.1,2025-04-08 12:51:00,3005.66,3005.48,0.0,0.0,1.8,3005.48,3002.0,18.0,-440.0
2025-04-08 12:42:00,Sell,XAUUSD,Default Setup,0.1,2025-04-08 12:51:00,3005.7,3005.4,0.0,0.0,3.0,3005.4,3000.0,30.0,-436.0
2025-04-08 12:42:00,Sell,XAUUSD,Default Setup,0.1,2025-04-08 12:48:00,3005.66,3005.0,0.0,0.0,6.6,3013.0,3005.0,66.0,-372.0
2025-04-08 10:37:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 11:33:00,3006.21,3006.44,0.0,0.0,2.3,3006.44,3010.0,216.0,-332.0
2025-04-08 10:37:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 11:33:00,3006.21,3006.43,0.0,0.0,2.2,3006.43,3013.0,216.0,-332.0
2025-04-08 10:37:00,Buy,XAUUSD,Default Setup,0.1,2025-04-08 10:40:00,3005.87,3007.88,0.0,0.0,20.1,3000.0,3008.0,,
2025-04-07 17:24:00,Sell,XAUUSD,Default Setup,0.1,2025-04-07 17:27:00,3019.37,3013.0,0.0,0.0,63.7,3019.3,3013.0,,
2025-04-07 17:24:00,Sell,XAUUSD,Default Setup,0.1,2025-04-07 17:25:00,3019.38,3016.34,0.0,0.0,30.4,3026.0,3016.0,,
2025-04-07 17:24:00,Sell,XAUUSD,Default Setup,0.1,2025-04-07 17:24:00,3019.88,3018.0,0.0,0.0,18.8,3026.0,3018.0,,
2025-04-07 17:16:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 17:19:00,3034.41,3028.45,0.0,0.0,-59.6,3028.45,3040.45,,
2025-04-07 17:16:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 17:17:00,3034.72,3037.37,0.0,0.0,26.5,3028.37,3037.37,,
2025-04-07 17:16:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 17:16:00,3034.88,3036.12,0.0,0.0,12.4,3028.62,3036.12,,
2025-04-07 15:54:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 16:00:00,3030.88,3031.54,0.0,0.0,6.6,3031.54,3034.25,66.0,-1683.0
2025-04-07 15:54:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 16:00:00,3030.86,3031.54,0.0,0.0,6.8,3031.54,3037.24,68.0,-1681.0
2025-04-07 15:54:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 15:55:00,3030.91,3032.78,0.0,0.0,18.7,3025.28,3032.78,,
2025-04-07 15:35:00,Sell,XAUUSD,Default Setup,0.1,2025-04-07 15:37:00,3020.55,3018.54,0.0,0.0,20.1,3020.83,3015.13,,
2025-04-07 15:35:00,Sell,XAUUSD,Default Setup,0.1,2025-04-07 15:35:00,3020.52,3018.13,0.0,0.0,23.9,3027.13,3018.13,,
2025-04-07 15:16:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 15:19:00,3029.2,3029.58,0.0,0.0,3.8,3029.58,3034.5,,
2025-04-07 15:16:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 15:19:00,3029.19,3029.57,0.0,0.0,3.8,3029.57,3035.5,,
2025-04-07 15:16:00,Buy,XAUUSD,Default Setup,0.1,2025-04-07 15:17:00,3029.22,3030.36,0.0,0.0,11.4,3022.5,3030.5,,
